rede;indice_custo_cesta_R$
EUROPA;67.75
FESTVAL;66.42
TRIUNFO;65.51
AGRIMAR;64.95
CIVIS;63.64
JUMBO ATACADISTA;62.8
REDE MASTER;61.56
TELÊMACO;61.45
SUPERMERCADO NOGUEIRA;60.86
TISSI;60.54
PALMEIRA;60.47
MINI PREÇO;59.36
STALL;58.87
NACIONAL;58.65
ANGELONI;58.59
ITALO;58.25
ARAUCÁRIA;57.85
BIZZOTTO;57.76
FUCHSPAN;57.46
TOK SUPER;57.37
SUPER BONI;57.14
ROÇA GRANDE;56.94
HARGER;56.36
MICHEL;55.95
CARREFOUR;55.7
ZAMPROGNA;55.51
BONFIM;55.5
SUPER MUFFATO;55.35
JACOMAR;54.9
RIO VERDE;54.41
SUPERMERCADO ESTRELA;53.43
ZIMMER SUPERMERCADO;53.15
CIRCUITO;52.95
AGRICER;52.37
SUPERMERCADO CURITIBA;52.15
GABÃO;50.63
CONDOR;50.15
ARMAZEM DA MARIA;49.85
GIGANTE;49.46
MAX ATACADISTA;49.26
ASSAÍ;48.95
BOM GOSTO;44.24
ATACADÃO;43.32
SUPERMERCADOS COLATUSSO;43.29
BIG;41.31
SUPER GS;38.94
SUPERMERCADO GALVÃO;23.16
