categoria_n2;mean;std;coef_variacao_%
BEBIDAS_ALCOOLICAS;12.53;15.34;122.38
FERMENTO_E_MISTURAS;9.64;9.45;98.09
OLEO_E_AZEITE;9.3;8.48;91.19
SUCO_E_NECTAR;5.66;4.85;85.74
LEGUMES_E_VERDURAS;7.37;5.82;78.99
UTILIDADES_DOMESTICAS;6.34;4.92;77.65
LEITE;7.37;5.37;72.96
QUEIJO;11.47;8.34;72.69
EMBUTIDOS;17.03;12.34;72.5
PRODUTOS_INFANTIS;28.43;20.54;72.26
MOLHOS_E_CONDIMENTOS;5.53;3.98;71.99
DOCES_E_SOBREMESAS;7.44;5.28;70.88
ARROZ;17.83;12.24;68.67
FARINACEOS;7.79;5.34;68.57
LIMPEZA_CASA;7.4;4.97;67.24
ACUCAR_E_ADOCANTE;11.36;7.39;65.0
AVES;13.97;8.88;63.58
HIGIENE_PESSOAL;5.48;3.43;62.55
ENLATADOS_E_CONSERVAS;7.2;4.36;60.6
CUIDADOS_PESSOAIS;8.3;4.86;58.58
FRUTAS;11.35;6.32;55.68
LIMPEZA_ROUPA;13.46;7.24;53.83
IOGURTE;5.68;2.99;52.68
CEREAIS_E_GRANOLAS;7.9;4.0;50.67
CAFE_E_CHA;12.82;6.45;50.28
HIGIENE_BUCAL;4.16;2.05;49.26
BISCOITOS_E_SNACKS;4.68;2.22;47.47
MASSAS;5.3;2.44;46.05
CREMES_E_MANTEIGA;8.05;3.33;41.37
CARNE_BOVINA;39.1;15.74;40.25
OVOS;12.75;4.92;38.56
ENERGÉTICO;9.06;3.18;35.05
AGUA;2.52;0.82;32.38
REFRIGERANTE;6.96;2.19;31.47
PAES;8.72;2.59;29.71
FEIJAO;7.45;1.92;25.79
PEIXES;26.78;6.8;25.38
PAPEL_HIGIENICO;18.4;4.31;23.42
CARNE_SUINA;23.56;5.46;23.17
SUINOS;17.97;2.52;14.02
