bairro;rede_mais_barata;custo_minimo_cesta_R$
Barreirinha;TRIUNFO;33.94
abranches;PALMEIRA;60.47
agua verde;ANGELONI;57.55
alto boqueirao;ATACADÃO;40.2
atuba;ASSAÍ;51.45
bacacheri;NACIONAL;58.1
bairro alto;ATACADÃO;52.06
batel;NACIONAL;57.85
bigorrilho;SUPER MUFFATO;56.85
boa vista;CONDOR;49.41
boqueirao;AGRICER;50.64
butiatuvinha;CONDOR;50.74
cabral;CARREFOUR;59.0
cachoeira;REDE MASTER;61.56
cajuru;MINI PREÇO;59.36
campo comprido;CONDOR;50.73
campo de santana;JACOMAR;52.9
capao da imbuia;TOK SUPER;57.37
capao raso;ATACADÃO;37.25
centro;NACIONAL;57.53
cic;ASSAÍ;41.98
fazendinha;BOM GOSTO;44.24
guaira;ATACADÃO;43.94
hauer;MAX ATACADISTA;47.29
jardim das americas;NACIONAL;63.85
merces;FESTVAL;60.22
mossungue;CARREFOUR;52.43
novo mundo;SUPER GS;38.94
parolin;ASSAÍ;51.25
pilarzinho;CONDOR;51.75
pinheirinho;ASSAÍ;41.26
portao;ATACADÃO;42.55
reboucas;CARREFOUR;58.8
santa felicidade;ATACADÃO;44.06
sitio cercado;SUPERMERCADO GALVÃO;23.16
taruma;HARGER;56.36
tatuquara;TISSI;55.42
uberaba;CONDOR;49.25
vila izabel;FESTVAL;59.63
xaxim;BIG;41.31
