bairro;ACUCAR_E_ADOCANTE;AGUA;ARROZ;AVES;BEBIDAS_ALCOOLICAS;BISCOITOS_E_SNACKS;CAFE_E_CHA;CARNE_BOVINA;CARNE_SUINA;CEREAIS_E_GRANOLAS;CREMES_E_MANTEIGA;CUIDADOS_PESSOAIS;DOCES_E_SOBREMESAS;EMBUTIDOS;ENERGÉTICO;ENLATADOS_E_CONSERVAS;FARINACEOS;FEIJAO;FERMENTO_E_MISTURAS;FRUTAS;HIGIENE_BUCAL;HIGIENE_PESSOAL;IOGURTE;LEGUMES_E_VERDURAS;LEITE;LIMPEZA_CASA;LIMPEZA_ROUPA;MASSAS;MOLHOS_E_CONDIMENTOS;OLEO_E_AZEITE;OVOS;PAES;PAPEL_HIGIENICO;PEIXES;PRODUTOS_INFANTIS;QUEIJO;REFRIGERANTE;SUCO_E_NECTAR;SUINOS;UTILIDADES_DOMESTICAS
Barreirinha;6.99;;7.69;1.99;36.33;7.44;;;;;;;1.99;;;12.99;;7.32;;8.98;;;;;5.99;8.99;;1.49;;;;10.98;;;10.98;13.85;;1.19;;6.99
abranches;10.35;2.65;24.98;14.9;4.39;5.95;14.1;37.9;15.98;4.3;7.85;11.0;7.5;11.99;9.1;5.55;5.99;7.65;6.7;9.46;4.75;4.15;6.9;5.22;5.99;5.95;12.9;4.75;4.3;6.89;10.9;9.55;21.25;31.0;31.4;9.7;7.95;3.7;;5.79
agua verde;7.99;2.47;7.45;12.99;3.99;4.99;16.9;39.99;24.79;5.99;8.49;10.98;6.69;9.95;9.97;5.98;5.45;8.49;6.99;12.5;3.25;3.45;3.75;6.99;5.69;8.15;11.34;4.98;3.85;6.19;14.95;9.65;15.48;24.9;5.99;8.39;7.44;5.99;18.99;4.8
alto boqueirao;10.98;2.79;7.99;8.99;4.29;4.49;12.98;34.98;29.98;8.98;7.99;9.49;5.99;10.59;9.44;4.99;5.65;6.95;5.32;8.99;3.99;3.98;4.69;4.99;5.49;6.39;10.2;4.99;3.99;6.59;9.49;8.39;18.99;25.98;29.69;8.54;7.74;4.99;18.9;4.99
atuba;7.79;2.59;7.99;10.99;3.99;3.99;13.98;35.9;26.99;7.14;7.99;8.99;5.99;9.79;6.49;4.89;4.99;6.99;6.99;9.79;2.89;3.17;4.69;5.99;5.65;5.59;10.44;4.79;3.69;6.45;11.79;8.99;15.9;22.79;29.99;8.99;6.99;4.99;16.99;4.38
bacacheri;4.89;2.49;7.84;12.78;3.75;4.49;14.19;38.99;26.9;8.89;10.24;9.79;6.99;13.69;;5.09;5.14;6.99;7.89;9.99;2.89;;5.24;6.39;6.09;6.99;10.29;3.99;4.29;6.89;12.99;7.99;18.99;29.79;29.99;8.99;6.98;2.99;18.99;4.69
bairro alto;7.99;2.44;7.99;10.99;3.99;4.44;12.98;36.9;26.99;7.89;7.99;9.69;6.49;9.99;6.49;5.89;5.29;6.99;6.99;9.99;2.89;3.28;4.19;5.99;5.79;4.79;10.99;4.99;3.99;5.99;11.99;8.79;15.99;23.99;29.9;9.39;7.09;4.99;18.66;4.79
batel;6.99;2.32;20.01;12.99;4.15;4.99;15.54;42.98;23.99;6.29;9.99;9.39;7.49;10.89;9.44;5.98;5.09;8.19;7.54;12.59;2.99;5.74;5.98;6.99;5.99;7.49;10.94;4.69;3.09;7.89;14.59;8.49;14.99;24.99;22.49;8.98;7.39;4.69;18.59;4.59
bigorrilho;7.47;2.44;7.54;12.99;3.99;4.77;14.99;39.97;24.99;6.67;7.99;9.98;6.58;9.95;10.49;5.44;4.99;7.99;7.19;11.99;3.17;3.45;4.98;6.99;5.59;7.19;10.99;4.49;2.99;6.19;14.97;9.65;14.99;24.9;28.49;8.49;7.39;4.64;18.59;4.98
boa vista;12.79;2.42;25.9;11.99;4.09;4.34;14.88;33.88;23.44;4.84;6.99;8.29;5.74;8.99;6.49;6.99;4.89;6.68;9.19;7.99;4.29;3.89;5.29;4.49;5.39;5.99;10.29;4.99;3.99;6.39;9.99;7.89;19.69;21.9;44.9;8.99;5.64;4.99;15.42;4.79
boqueirao;9.99;2.48;6.99;9.98;4.29;4.38;12.98;34.99;27.9;7.99;6.98;8.89;5.98;8.98;10.99;4.98;5.98;6.48;5.79;9.95;3.99;6.48;5.29;4.99;5.68;5.98;9.98;4.98;4.48;6.28;9.99;8.98;17.99;24.98;24.99;8.99;6.99;4.88;18.98;4.98
butiatuvinha;11.79;2.45;10.49;13.0;3.89;4.09;14.49;29.97;18.69;7.78;6.99;8.64;5.99;8.54;;6.79;4.98;6.74;8.99;9.98;3.99;3.5;4.98;4.99;5.39;6.39;20.4;4.89;4.99;6.59;10.99;7.89;19.69;22.4;30.69;8.69;6.79;4.99;14.97;4.79
cabral;22.49;;28.74;15.99;11.79;7.49;14.69;83.49;22.49;10.14;10.49;4.29;12.99;26.39;;4.69;10.89;9.89;;17.59;7.49;;5.49;15.99;5.39;6.99;;4.39;4.88;5.99;14.39;6.09;;;8.59;8.99;;;;3.29
cachoeira;17.94;3.15;24.9;15.9;3.79;5.99;12.98;36.9;24.9;11.59;8.39;10.39;6.69;10.49;;6.49;7.29;6.84;6.19;8.79;4.99;4.19;6.29;5.99;5.49;5.09;12.49;4.59;3.29;6.64;10.79;7.39;18.49;27.9;29.9;9.59;6.99;2.14;;6.49
cajuru;10.49;3.99;15.99;16.67;4.39;5.49;12.99;36.99;;7.49;9.89;11.69;6.49;9.39;13.99;4.49;5.54;7.49;8.29;7.5;4.99;4.69;6.49;4.99;5.99;6.79;12.99;5.94;5.19;6.79;10.99;9.89;21.59;31.49;9.24;9.94;6.29;6.89;;5.89
campo comprido;5.49;2.84;25.43;11.99;4.39;4.53;15.29;33.9;31.9;10.98;6.99;4.99;5.54;12.72;6.49;6.99;6.98;6.99;8.99;8.44;4.39;3.98;3.98;4.99;5.49;6.69;10.99;5.49;4.79;6.59;10.98;8.49;19.98;21.9;30.99;8.99;6.89;4.99;17.38;4.69
