rede;ACUCAR_E_ADOCANTE;AGUA;ARROZ;AVES;BEBIDAS_ALCOOLICAS;BISCOITOS_E_SNACKS;CAFE_E_CHA;CARNE_BOVINA;CARNE_SUINA;CEREAIS_E_GRANOLAS;CREMES_E_MANTEIGA;CUIDADOS_PESSOAIS;DOCES_E_SOBREMESAS;EMBUTIDOS;ENERGÉTICO;ENLATADOS_E_CONSERVAS;FARINACEOS;FEIJAO;FERMENTO_E_MISTURAS;FRUTAS;HIGIENE_BUCAL;HIGIENE_PESSOAL;IOGURTE;LEGUMES_E_VERDURAS;LEITE;LIMPEZA_CASA;LIMPEZA_ROUPA;MASSAS;MOLHOS_E_CONDIMENTOS;OLEO_E_AZEITE;OVOS;PAES;PAPEL_HIGIENICO;PEIXES;PRODUTOS_INFANTIS;QUEIJO;REFRIGERANTE;SUCO_E_NECTAR;SUINOS;UTILIDADES_DOMESTICAS
AGRICER;8.99;2.95;6.99;10.75;3.99;4.59;12.98;32.99;16.99;7.99;7.45;8.99;5.39;8.99;5.99;4.99;5.99;6.95;3.99;7.99;3.99;3.99;5.75;4.99;4.99;5.8;10.99;4.99;3.89;6.49;11.99;7.99;17.99;26.45;32.99;9.79;6.99;3.99;;4.99
AGRIMAR;11.99;3.99;8.99;10.99;4.79;5.89;8.49;36.99;14.99;8.49;11.99;4.49;5.99;19.99;;5.99;6.39;7.99;7.99;14.99;4.99;5.99;6.24;4.99;5.99;5.49;11.99;9.99;3.99;6.69;12.99;8.9;22.99;29.99;34.99;9.99;8.49;3.29;;5.99
ANGELONI;7.95;2.49;7.45;12.99;3.99;4.99;16.24;39.99;25.98;6.44;8.49;11.74;6.69;9.95;9.97;5.99;5.35;7.99;6.99;11.99;3.24;3.45;3.75;6.99;5.69;8.15;11.59;4.99;3.44;6.19;14.89;9.65;15.97;24.9;5.99;8.25;7.39;5.98;18.99;4.89
ARAUCÁRIA;12.99;2.79;7.99;8.99;4.08;4.99;12.99;31.99;19.48;8.49;7.99;9.99;5.99;10.69;8.99;7.49;6.3;7.99;3.99;8.99;5.49;4.49;6.59;4.99;5.99;5.69;12.44;5.64;4.49;7.49;10.49;10.79;18.94;24.94;31.99;9.99;8.99;4.99;;6.49
ARMAZEM DA MARIA;7.09;2.49;27.69;9.5;4.44;4.29;13.39;32.29;23.99;11.99;6.99;9.74;5.49;10.7;5.99;5.64;5.09;6.59;4.94;9.98;3.99;4.19;3.99;4.99;5.49;6.79;9.49;4.29;4.99;5.99;11.99;8.59;18.79;25.99;32.89;8.99;7.49;5.59;18.99;3.99
ASSAÍ;8.49;2.29;8.99;10.24;5.15;3.99;12.99;35.9;22.99;2.72;7.49;8.9;5.99;11.94;6.49;4.69;5.19;6.79;3.99;8.99;2.99;2.99;3.99;4.99;5.19;6.12;9.49;4.09;2.99;5.99;12.9;8.69;15.98;22.79;29.99;7.44;7.49;4.69;16.98;3.99
ATACADÃO;13.98;2.75;24.9;8.99;4.39;3.98;10.98;34.9;21.9;8.98;8.9;7.79;5.49;12.9;9.44;6.49;4.9;6.59;3.99;9.49;2.89;3.49;4.49;4.79;5.39;5.99;8.99;3.95;3.69;5.99;8.99;6.74;18.29;22.9;23.9;7.59;7.49;4.69;18.9;3.99
BIG;13.98;2.75;24.9;8.49;4.39;3.98;10.97;33.9;32.94;8.94;7.29;7.79;4.98;9.74;;6.29;4.9;6.89;3.99;8.99;2.94;3.49;3.19;4.99;5.39;5.99;8.24;3.95;3.69;5.49;9.49;6.49;18.49;22.9;23.9;7.59;6.95;4.89;18.9;3.99
BIZZOTTO;15.48;3.99;14.74;15.98;4.44;5.99;13.85;34.9;;;9.98;11.49;6.99;7.49;;4.74;6.34;8.99;4.98;6.99;6.48;4.39;6.99;4.99;5.74;6.99;9.99;9.89;2.99;7.99;14.94;7.7;16.15;;;7.7;7.49;3.84;;4.99
BOM GOSTO;5.69;;20.98;5.4;13.33;3.48;15.98;24.34;;2.98;12.94;3.48;4.68;6.99;;3.78;6.63;11.23;6.9;11.98;6.89;7.49;2.99;4.95;5.48;2.78;;2.98;3.68;5.98;10.24;7.98;;;8.93;9.33;;0.68;;6.58
BONFIM;11.79;;32.99;4.69;18.99;5.59;6.79;29.99;;11.65;3.49;4.99;2.99;19.99;;8.99;6.79;9.39;6.99;13.49;6.34;;7.59;4.99;4.69;5.49;13.99;5.35;3.99;8.99;10.99;;14.99;24.79;6.99;7.79;8.89;13.99;;8.99
CARREFOUR;5.49;2.33;22.49;13.99;3.98;4.64;14.69;39.54;24.59;6.98;8.99;8.99;6.99;18.5;6.49;4.99;6.19;7.99;5.49;11.49;3.29;3.99;5.49;6.19;5.54;6.89;9.79;4.09;4.29;7.09;13.99;7.79;17.19;30.99;26.99;8.99;6.99;5.49;18.96;4.49
CIRCUITO;7.99;2.19;6.99;10.99;3.59;3.99;10.99;28.99;;6.99;7.99;7.99;5.99;9.49;;5.99;4.99;6.33;3.89;9.99;2.69;4.49;4.49;4.99;5.29;6.99;12.98;4.89;4.49;6.29;10.49;7.99;16.99;24.88;32.99;8.99;6.49;4.54;17.49;5.46
CIVIS;18.99;3.39;22.99;16.99;4.59;5.99;15.99;38.99;;7.99;8.44;11.99;6.99;11.99;;6.99;5.49;7.99;5.99;6.99;4.69;3.99;6.39;3.97;5.99;4.99;10.99;4.99;4.39;7.99;14.99;7.89;20.99;;31.99;7.98;7.95;2.69;;5.69
CONDOR;11.79;2.39;20.98;11.59;3.89;4.39;14.49;32.9;19.99;5.59;6.99;8.99;5.69;8.99;6.49;6.98;4.89;6.68;9.19;8.99;3.99;3.65;4.39;4.89;5.39;5.99;9.99;5.29;3.99;6.39;9.99;7.99;19.69;21.9;30.99;8.99;6.59;4.99;14.97;4.59
EUROPA;9.99;4.99;16.99;13.94;4.64;5.99;15.49;39.99;;12.49;8.33;10.49;8.19;10.99;;6.29;7.99;6.99;8.29;8.99;5.99;4.49;7.79;5.99;6.29;6.99;23.24;4.99;4.99;7.19;11.99;9.99;19.99;;32.99;7.94;8.99;5.99;;6.99
FESTVAL;5.99;2.69;7.98;14.98;3.99;4.99;15.99;46.9;23.98;6.69;10.98;9.99;7.99;9.99;11.99;7.99;5.98;8.49;9.99;12.99;2.99;3.99;5.99;7.34;5.79;7.55;11.99;4.99;3.99;6.98;14.99;8.89;17.89;24.99;22.49;7.99;7.19;3.99;17.99;5.98
FUCHSPAN;5.96;3.38;15.98;12.98;3.79;4.99;13.39;34.9;;9.98;8.98;9.98;5.78;8.29;;4.59;6.49;5.49;5.74;8.99;3.74;3.99;3.98;4.99;5.49;5.98;11.98;4.35;3.89;6.49;8.99;8.29;18.98;24.99;31.98;9.49;7.09;5.89;;4.99
GABÃO;5.6;2.79;7.2;11.9;4.67;4.99;14.49;32.9;17.5;4.99;6.99;4.68;6.98;13.18;;6.4;5.35;6.69;5.4;10.35;3.4;5.6;3.8;4.99;5.49;5.29;10.51;4.29;3.99;6.7;8.7;8.7;19.98;24.9;18.9;8.99;5.9;5.74;18.44;4.7
GIGANTE;14.49;;19.99;7.96;;5.18;13.97;17.05;;10.95;7.99;15.55;2.09;22.05;;3.99;5.98;8.22;;14.37;;12.55;4.19;10.89;5.34;2.94;5.98;2.75;1.32;5.19;7.99;6.43;;;27.89;8.99;;;;3.79
HARGER;7.99;2.69;7.79;10.99;3.47;4.49;12.79;38.9;27.44;8.64;8.99;4.79;6.59;9.99;;5.59;5.39;6.99;5.19;9.99;2.89;3.09;4.99;6.49;5.9;4.49;12.9;5.49;3.94;5.99;12.65;8.89;16.99;23.99;29.99;10.49;7.49;2.94;18.99;4.79
ITALO;5.89;3.49;8.85;11.9;3.99;3.99;14.53;39.9;26.99;7.29;8.98;9.98;6.99;9.99;14.39;3.99;5.69;7.99;7.19;11.39;2.99;3.04;4.77;6.99;5.99;5.99;12.9;4.59;4.0;6.99;11.69;8.99;14.99;;29.99;9.94;6.99;5.0;18.94;4.59
JACOMAR;11.44;2.48;6.99;9.98;4.59;4.38;12.98;34.98;27.9;7.98;6.98;5.99;6.28;8.98;10.99;3.98;4.99;5.99;7.98;9.99;3.99;6.48;5.29;4.99;5.58;5.98;9.85;4.48;4.48;6.38;9.99;8.98;18.98;24.98;24.99;8.98;6.79;4.98;18.98;4.98
JUMBO ATACADISTA;;;;;;4.58;;36.89;;;;1.21;8.15;;;;;;9.03;20.94;;;;;;4.79;;4.08;;;7.13;;;;;;;;;4.19
MAX ATACADISTA;4.29;2.49;6.99;9.97;4.19;3.69;12.48;32.97;16.97;4.69;6.49;8.99;5.99;11.19;;4.59;5.29;5.99;2.89;8.98;4.19;7.99;2.79;4.99;5.49;5.99;15.49;4.49;3.98;5.79;12.89;7.29;18.99;24.87;31.49;8.19;6.44;3.98;17.9;3.9
MICHEL;6.98;3.99;17.99;13.98;3.99;5.41;12.99;35.47;22.5;9.98;8.98;10.94;6.79;10.99;;6.99;5.99;7.98;4.98;10.99;4.99;3.99;3.99;5.99;5.99;5.99;12.99;4.99;3.99;6.79;11.99;9.98;19.98;29.9;33.99;9.98;7.99;5.99;15.43;5.19
MINI PREÇO;10.49;3.99;15.99;16.67;4.39;5.49;12.99;36.99;;7.49;9.89;11.69;6.49;9.39;13.99;4.49;5.54;7.49;8.29;7.5;4.99;4.69;6.49;4.99;5.99;6.79;12.99;5.94;5.19;6.79;10.99;9.89;21.59;31.49;9.24;9.94;6.29;6.89;;5.89
NACIONAL;6.98;2.35;22.98;12.99;3.99;4.59;15.19;39.9;24.65;6.69;9.39;9.39;7.19;10.99;6.89;5.19;5.19;7.29;7.89;10.99;2.89;5.74;5.49;6.49;5.99;7.19;10.37;3.99;4.29;7.39;13.99;7.79;15.99;28.99;9.19;9.19;6.99;4.59;18.99;4.39
PALMEIRA;5.95;2.65;8.65;15.85;4.4;5.55;13.7;34.9;;5.8;7.85;10.0;7.5;10.15;9.1;5.65;5.5;6.95;6.7;9.47;4.75;4.15;6.9;4.55;6.0;5.8;11.7;4.75;4.25;7.1;9.8;9.6;21.15;31.0;45.18;9.7;7.88;3.7;;4.65
REDE MASTER;17.94;3.15;24.9;15.9;3.79;5.99;12.98;36.9;24.9;11.59;8.39;10.39;6.69;10.49;;6.49;7.29;6.84;6.19;8.79;4.99;4.19;6.29;5.99;5.49;5.09;12.49;4.59;3.29;6.64;10.79;7.39;18.49;27.9;29.9;9.59;6.99;2.14;;6.49
RIO VERDE;4.99;2.23;7.79;10.98;3.99;4.64;12.98;39.9;28.69;7.89;8.29;3.8;6.99;9.99;6.49;6.14;5.44;6.99;6.33;9.99;2.99;3.19;4.99;6.89;5.9;4.09;12.9;5.59;3.99;5.99;12.9;8.89;15.99;23.99;29.99;9.99;6.99;4.24;16.99;4.99
ROÇA GRANDE;23.99;1.99;28.89;8.99;4.59;5.99;7.99;29.94;16.99;11.99;8.99;13.99;6.99;9.44;;8.99;8.99;7.99;4.59;8.99;;7.99;;5.99;17.99;6.99;37.99;9.89;3.99;7.99;10.44;;29.49;24.99;45.99;;7.99;19.89;;5.99
STALL;9.98;3.49;7.99;9.99;3.99;5.29;13.65;36.99;32.98;7.6;8.15;9.98;5.99;9.98;;4.99;4.99;6.99;4.99;8.99;4.59;3.98;5.14;4.99;5.59;6.99;9.98;5.29;4.29;6.85;9.98;8.19;19.48;26.98;32.75;9.42;7.69;3.99;;4.89
SUPER BONI;8.84;3.04;7.99;10.99;4.27;4.69;13.59;35.98;29.48;8.29;7.99;9.99;6.29;10.19;8.68;5.19;5.69;6.79;7.57;9.98;2.99;3.99;5.0;5.69;5.59;5.99;12.29;5.89;4.99;6.59;10.99;8.98;18.78;25.99;29.98;9.49;7.59;5.65;18.9;5.49
SUPER GS;4.99;1.99;33.99;12.98;3.74;5.99;12.99;;;9.69;4.59;12.39;8.99;18.98;;5.69;6.29;7.99;5.99;7.49;5.99;4.49;;4.99;5.99;5.49;11.99;4.98;3.99;;12.99;;16.99;;2.99;9.79;;2.99;;5.99
SUPER MUFFATO;8.89;2.29;11.39;11.99;3.99;4.49;14.39;35.97;22.99;6.65;7.99;9.98;6.59;9.99;6.99;5.69;5.59;6.98;4.39;10.98;3.49;3.18;5.19;5.89;5.69;6.34;10.98;4.49;4.95;5.99;12.98;7.99;19.9;25.97;28.99;8.79;6.79;4.99;18.9;5.19
SUPERMERCADO CURITIBA;9.48;2.99;8.49;10.24;4.31;4.78;16.48;32.99;39.98;6.88;7.98;8.69;6.79;13.99;;4.98;5.95;7.48;3.99;9.99;5.5;3.49;4.49;4.99;5.49;5.75;11.99;4.99;4.78;7.48;8.99;8.99;15.99;26.44;33.9;8.99;7.98;5.99;17.44;4.54
SUPERMERCADO ESTRELA;16.99;2.99;16.48;14.99;3.89;5.99;10.99;31.9;;10.49;4.79;11.99;5.28;6.99;;4.59;7.48;7.99;4.79;6.99;8.99;4.24;6.99;4.99;5.74;6.48;22.48;3.99;2.99;6.99;11.99;8.59;16.98;;;9.89;7.99;2.49;;4.99
SUPERMERCADO GALVÃO;6.79;;;;;7.49;10.48;;;9.89;;12.99;2.99;6.78;;7.29;6.59;;4.98;7.99;4.69;4.14;;4.99;6.49;3.99;34.99;5.25;3.89;;;;;;4.49;6.49;;;;6.98
SUPERMERCADO NOGUEIRA;9.98;3.89;30.9;15.44;5.99;5.94;17.99;34.9;;11.99;10.99;4.99;8.99;8.99;6.99;5.99;8.49;8.49;5.99;9.98;4.59;4.69;6.99;4.99;6.5;6.89;10.99;9.98;3.99;7.49;16.44;11.99;17.24;26.9;7.99;11.24;8.99;7.99;;5.29
SUPERMERCADOS COLATUSSO;5.98;1.59;24.95;11.98;3.48;4.48;12.98;14.78;;3.48;9.98;6.98;4.98;8.96;;8.98;7.48;9.49;4.98;10.44;2.76;3.98;2.98;8.98;6.92;4.49;14.78;5.99;4.79;4.79;15.94;6.96;;;29.78;10.98;3.54;10.46;;5.78
TELÊMACO;5.89;;18.7;7.99;22.9;5.49;21.49;29.99;23.99;11.99;5.29;11.24;9.5;7.99;;7.49;8.99;6.49;2.39;13.99;2.99;5.9;3.79;4.69;5.84;9.99;29.99;4.59;7.99;5.99;10.99;9.94;13.9;44.9;5.49;10.74;8.99;12.99;;5.59
TISSI;5.49;3.99;8.74;12.5;4.89;5.93;13.98;37.9;17.9;10.98;7.99;9.74;6.79;15.44;6.99;8.99;7.99;8.48;5.99;8.39;4.99;4.49;3.99;4.98;5.98;6.89;13.9;5.39;3.99;7.39;11.9;8.69;19.98;29.99;12.99;7.99;6.89;5.99;18.98;4.89
TOK SUPER;5.49;2.49;7.99;12.99;4.49;4.69;12.79;33.9;36.9;6.79;8.24;10.9;4.99;13.39;;3.99;5.79;8.49;6.98;11.9;2.89;5.6;5.99;6.9;5.69;5.9;9.9;5.29;3.29;6.9;9.9;7.79;19.9;27.9;33.9;9.49;7.99;2.27;24.9;4.39
TRIUNFO;10.98;2.99;24.98;13.94;3.99;6.97;15.98;39.9;15.98;3.99;5.49;12.85;6.49;11.99;9.48;4.99;5.99;7.98;6.49;8.99;4.99;7.98;4.98;5.99;5.99;7.95;13.9;4.95;4.99;6.89;10.9;8.74;22.58;32.9;10.98;9.97;7.98;2.97;;6.59
ZAMPROGNA;5.89;2.98;6.99;9.99;4.09;4.88;12.99;34.99;29.9;3.92;8.99;10.39;6.99;11.98;;4.99;5.69;6.99;4.69;9.99;2.99;3.98;3.98;5.98;5.49;5.99;9.89;4.99;4.99;6.99;9.99;10.79;19.98;27.99;29.99;9.98;7.48;6.49;18.95;4.89
