bairro;ACUCAR_E_ADOCANTE;ARROZ;AVES;BEBIDAS_ALCOOLICAS;BISCOITOS_E_SNACKS;CAFE_E_CHA;CARNE_BOVINA;CREMES_E_MANTEIGA;DOCES_E_SOBREMESAS;EMBUTIDOS;FARINACEOS;FRUTAS;LEGUMES_E_VERDURAS;LEITE;LIMPEZA_CASA;MASSAS;MOLHOS_E_CONDIMENTOS;PAES;QUEIJO;UTILIDADES_DOMESTICAS
alto boqueirao;10.98;7.99;8.99;4.29;4.49;12.98;34.98;7.99;5.99;10.59;5.65;8.99;4.99;5.49;6.39;4.99;3.99;8.39;8.54;4.99
atuba;8.49;7.17;10.9;3.99;3.99;13.89;35.9;7.49;5.99;8.99;4.9;8.99;4.99;5.49;5.59;4.79;3.5;8.69;8.64;4.19
bairro alto;9.99;7.99;10.99;4.19;4.0;12.99;36.9;7.99;5.99;10.99;4.99;9.99;5.99;5.69;5.94;4.29;3.99;7.99;8.99;4.69
batel;6.99;20.01;12.99;4.15;4.99;15.54;42.98;9.99;7.49;10.89;5.09;12.59;6.99;5.99;7.49;4.69;3.09;8.49;8.98;4.59
bigorrilho;7.47;7.54;12.99;3.99;4.77;14.99;39.97;7.99;6.58;9.95;4.99;11.99;6.99;5.59;7.19;4.49;2.99;9.65;8.49;4.98
boqueirao;9.99;6.99;9.98;4.29;4.38;12.98;34.99;6.98;5.98;8.98;5.98;9.95;4.99;5.68;5.98;4.98;4.48;8.98;8.99;4.98
cic;8.49;24.9;12.79;3.99;4.38;14.98;32.69;6.99;5.69;9.98;4.98;9.44;4.79;5.29;6.29;5.19;3.39;7.99;8.74;4.32
mossungue;5.49;19.99;14.98;4.19;4.9;14.59;44.9;7.98;6.99;16.99;6.44;11.99;5.99;5.98;7.09;4.98;4.99;8.49;8.79;5.79
novo mundo;8.99;10.99;12.69;3.99;4.49;14.19;35.98;7.98;6.29;8.99;6.39;9.98;4.99;5.39;6.59;4.98;4.99;8.49;8.74;4.98
pinheirinho;8.99;13.84;9.99;4.59;4.39;14.49;29.99;7.49;5.79;16.9;5.79;8.9;3.99;5.19;5.99;4.89;3.89;8.09;8.49;4.19
portao;8.59;24.5;11.24;4.39;3.98;13.19;34.9;8.89;6.39;13.99;5.49;9.89;4.99;5.39;6.25;3.89;3.99;7.49;8.49;4.09
santa felicidade;6.98;9.49;12.9;4.39;4.32;13.98;41.62;8.99;5.99;13.98;5.98;10.99;5.99;5.79;5.99;4.49;3.99;7.98;7.71;5.33
sitio cercado;10.49;8.39;12.98;3.89;4.39;13.4;38.45;7.49;5.49;7.99;4.89;9.39;4.99;5.49;6.98;4.98;3.98;8.19;9.34;4.75
uberaba;11.88;7.05;10.98;4.29;4.48;13.15;32.98;6.98;6.28;8.98;4.98;9.99;4.59;5.49;5.98;4.89;4.38;8.98;8.98;4.98
xaxim;8.49;7.99;11.98;4.29;4.99;13.98;35.98;7.98;6.48;9.99;5.99;9.99;5.89;5.74;5.99;4.99;4.48;8.89;8.98;5.99
