rede;CARNES;HORTIFRUTI;LATICINIOS_E_FRIOS;LIMPEZA_E_UTILIDADES;MERCEARIA
AGRICER;25.99;6.99;6.99;5.99;5.95
AGRIMAR;31.99;9.99;9.99;6.99;6.99
ANGELONI;29.99;8.99;7.79;5.69;6.29
ARAUCÁRIA;28.99;6.99;8.49;6.49;6.99
ARMAZEM DA MARIA;24.49;6.99;7.79;4.99;5.49
ASSAÍ;23.8;6.99;6.99;4.99;5.69
ATACADÃO;18.9;6.89;6.99;5.16;5.29
BIG;16.9;6.59;6.59;5.49;5.29
BIZZOTTO;32.4;5.99;6.99;6.89;5.99
BOM GOSTO;21.9;9.33;6.99;2.99;4.85
BONFIM;25.99;7.59;6.39;8.99;6.45
CARREFOUR;27.99;8.79;8.09;4.99;6.39
CIRCUITO;25.99;6.99;6.99;6.98;5.49
CIVIS;37.45;5.39;7.99;6.99;6.99
CONDOR;25.19;6.59;6.99;4.81;6.19
EUROPA;36.99;7.99;7.99;6.99;7.49
FESTVAL;32.99;9.99;7.99;6.47;6.99
FUCHSPAN;31.9;6.89;6.98;5.69;5.99
GABÃO;24.9;7.15;6.99;5.29;6.25
GIGANTE;17.05;14.37;8.79;3.98;5.18
HARGER;26.94;8.49;7.99;4.99;5.99
ITALO;29.99;8.99;7.99;4.99;6.29
JACOMAR;26.98;7.98;6.98;5.98;5.98
JUMBO ATACADISTA;24.89;19.99;5.29;4.49;4.58
MAX ATACADISTA;23.49;6.99;6.99;4.59;5.49
MICHEL;27.97;8.99;7.99;5.99;6.29
MINI PREÇO;31.99;6.49;7.59;6.79;6.49
NACIONAL;29.99;8.85;7.99;5.49;6.58
PALMEIRA;33.9;6.95;7.6;5.4;6.35
REDE MASTER;32.9;7.79;7.29;6.44;6.89
RIO VERDE;26.9;8.49;7.99;4.99;5.99
ROÇA GRANDE;29.9;7.99;8.99;6.99;7.99
STALL;32.65;6.99;7.69;5.45;5.99
SUPER BONI;27.98;7.69;7.98;5.99;6.49
SUPER GS;14.48;6.99;6.99;6.99;5.99
SUPER MUFFATO;26.99;8.59;7.59;5.79;5.99
SUPERMERCADO CURITIBA;24.99;6.99;6.99;4.99;6.72
SUPERMERCADO ESTRELA;28.44;6.98;6.98;4.99;5.49
SUPERMERCADO GALVÃO;32.94;7.99;6.98;4.99;5.22
SUPERMERCADO NOGUEIRA;32.9;6.99;8.99;5.99;5.99
SUPERMERCADOS COLATUSSO;11.98;9.98;8.92;6.79;5.58
TELÊMACO;25.99;8.99;7.99;6.99;7.19
TISSI;33.9;6.97;6.99;5.69;6.99
TOK SUPER;28.9;8.9;7.99;4.62;5.99
TRIUNFO;34.99;7.99;7.75;6.99;6.99
ZAMPROGNA;27.99;6.99;7.48;5.89;5.99
ZIMMER SUPERMERCADO;22.99;11.79;7.84;5.44;4.19
