mes;BEBIDAS;CARNES;HIGIENE_PESSOAL;HORTIFRUTI;INFANTIL;LATICINIOS_E_FRIOS;LIMPEZA_E_UTILIDADES;MERCEARIA;PADARIA
2024-01-01;4.69;27.98;7.93;7.99;29.79;7.49;5.95;5.99;8.44
2024-02-01;4.69;27.49;7.99;7.79;26.5;7.49;5.68;5.99;8.52
2024-03-01;4.78;26.9;7.99;7.98;26.22;7.49;5.39;5.99;8.49
2024-04-01;4.89;27.29;8.72;7.59;29.24;7.49;5.59;5.99;8.69
2024-05-01;4.69;27.49;8.94;7.49;26.99;7.59;5.49;5.99;8.49
2024-06-01;4.49;27.99;8.49;7.99;26.5;7.89;5.9;5.99;8.49
2024-07-01;4.69;28.99;8.32;7.99;29.69;7.59;5.98;5.99;8.59
2024-08-01;4.59;26.99;7.99;7.95;26.74;7.49;5.89;5.99;8.49
2024-09-01;4.89;26.99;8.89;7.89;29.78;7.39;5.7;5.99;8.49
2024-10-01;4.99;26.9;8.79;7.99;29.99;7.39;5.45;5.99;8.49
2024-11-01;4.99;26.98;7.99;7.87;29.99;7.3;5.5;5.99;8.52
2024-12-01;4.99;27.9;8.98;7.49;29.99;6.99;5.49;5.99;8.49
