mes;ACUCAR_E_ADOCANTE;ARROZ;AVES;BEBIDAS_ALCOOLICAS;BISCOITOS_E_SNACKS;CAFE_E_CHA;CARNE_BOVINA;CREMES_E_MANTEIGA;DOCES_E_SOBREMESAS;EMBUTIDOS;FARINACEOS;FRUTAS;LEGUMES_E_VERDURAS;LEITE;LIMPEZA_CASA;MASSAS;MOLHOS_E_CONDIMENTOS;PAES;QUEIJO;UTILIDADES_DOMESTICAS
2024-01-01;6.99;8.99;12.9;3.99;4.49;13.99;36.9;7.99;6.29;10.69;5.49;9.98;5.99;5.59;5.99;4.98;4.28;8.44;8.99;4.99
2024-02-01;8.49;8.29;11.98;3.99;4.49;13.98;35.98;7.98;6.29;9.99;5.59;9.98;5.39;5.69;5.99;4.89;3.99;8.52;8.89;4.98
2024-03-01;8.59;8.98;11.9;3.99;4.49;13.99;35.98;7.99;6.29;9.98;5.72;9.99;5.49;5.59;5.98;4.89;4.09;8.49;8.89;4.79
2024-04-01;8.79;8.98;11.99;4.29;4.59;13.98;36.69;7.98;6.49;10.49;5.89;9.99;5.59;5.69;5.99;4.96;4.0;8.69;8.98;4.98
2024-05-01;8.85;8.97;11.98;3.99;4.53;13.99;36.9;7.99;5.99;10.69;5.5;9.99;5.19;5.59;5.99;4.79;3.99;8.49;8.99;4.82
2024-06-01;9.79;7.99;11.9;3.89;4.49;13.49;36.97;8.49;5.99;10.64;5.79;9.99;5.97;5.69;5.99;4.89;3.99;8.49;8.99;4.98
2024-07-01;7.96;7.99;11.98;3.89;4.49;13.15;36.99;8.04;5.99;10.54;5.64;9.98;5.99;5.59;6.39;4.98;3.99;8.59;8.99;4.98
2024-08-01;8.49;8.24;11.9;3.99;4.39;13.32;36.98;7.99;5.99;10.34;5.69;9.98;5.98;5.49;5.99;4.89;3.99;8.49;8.9;4.98
2024-09-01;7.99;8.98;11.99;4.39;4.59;13.98;35.98;7.65;6.39;9.99;5.6;9.99;4.99;5.49;5.99;4.69;3.99;8.49;8.79;4.98
2024-10-01;8.39;18.98;11.9;4.69;4.49;14.88;36.9;7.69;6.29;9.99;5.79;9.99;5.59;5.49;5.9;4.89;4.27;8.49;8.98;4.98
2024-11-01;8.59;9.19;11.98;4.59;4.79;14.19;35.98;7.98;6.49;9.99;5.89;9.99;5.59;5.69;5.98;4.89;4.09;8.52;8.98;4.98
2024-12-01;8.59;18.98;11.99;4.39;4.89;13.98;36.9;7.75;6.0;9.98;5.72;9.98;5.29;5.49;5.99;4.79;4.29;8.49;8.98;4.98
