mes;ACUCAR_E_ADOCANTE;ARROZ;AVES;BEBIDAS_ALCOOLICAS;BISCOITOS_E_SNACKS;CAFE_E_CHA;CARNE_BOVINA;CREMES_E_MANTEIGA;DOCES_E_SOBREMESAS;EMBUTIDOS;FARINACEOS;FRUTAS;LEGUMES_E_VERDURAS;LEITE;LIMPEZA_CASA;MASSAS;MOLHOS_E_CONDIMENTOS;PAES;QUEIJO;UTILIDADES_DOMESTICAS
2024-01;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
2024-02;121.46;92.21;92.87;100.0;100.0;99.93;97.51;99.87;100.0;93.45;101.82;100.0;89.98;101.79;100.0;98.19;93.22;100.89;98.89;99.8
2024-03;122.89;99.89;92.25;100.0;100.0;100.0;97.51;100.0;100.0;93.36;104.19;100.1;91.65;100.0;99.83;98.19;95.56;100.59;98.89;95.99
2024-04;125.75;99.89;92.95;107.52;102.23;99.93;99.43;99.87;103.18;98.13;107.29;100.1;93.32;101.79;100.0;99.7;93.34;102.96;99.89;99.8
2024-05;126.61;99.78;92.87;100.0;100.89;100.0;100.0;100.0;95.23;100.0;100.18;100.1;86.64;100.0;100.0;96.18;93.22;100.59;100.0;96.69
2024-06;140.06;88.88;92.25;97.49;100.0;96.43;100.18;106.26;95.23;99.53;105.46;100.1;99.67;101.79;100.0;98.19;93.22;100.59;100.0;99.8
2024-07;113.88;88.88;92.87;97.49;100.0;94.0;100.24;100.69;95.23;98.6;102.73;100.0;100.0;100.0;106.68;100.0;93.22;101.78;100.0;99.8
2024-08;121.46;91.66;92.25;100.0;97.77;95.21;100.22;100.0;95.23;96.73;103.64;100.0;99.83;98.21;100.0;98.19;93.22;100.59;99.0;99.8
2024-09;114.31;99.89;92.95;110.03;102.23;99.93;97.51;95.74;101.59;93.45;102.0;100.1;83.31;98.21;100.0;94.18;93.22;100.59;97.78;99.8
2024-10;120.03;211.12;92.25;117.54;100.0;106.36;100.0;96.25;100.0;93.45;105.46;100.1;93.32;98.21;98.5;98.19;99.77;100.59;99.89;99.8
2024-11;122.89;102.22;92.87;115.04;106.68;101.43;97.51;99.87;103.18;93.45;107.29;100.1;93.32;101.79;99.83;98.19;95.56;100.95;99.89;99.8
2024-12;122.89;211.12;92.95;110.03;108.91;99.93;100.0;97.0;95.39;93.36;104.19;100.0;88.31;98.21;100.0;96.18;100.23;100.59;99.89;99.8
