rede;ACUCAR_E_ADOCANTE;ARROZ;AVES;BEBIDAS_ALCOOLICAS;BISCOITOS_E_SNACKS;CAFE_E_CHA;CARNE_BOVINA;CREMES_E_MANTEIGA;DOCES_E_SOBREMESAS;EMBUTIDOS;FARINACEOS;FRUTAS;LEGUMES_E_VERDURAS;LEITE;LIMPEZA_CASA;MASSAS;MOLHOS_E_CONDIMENTOS;PAES;QUEIJO;UTILIDADES_DOMESTICAS
AGRICER;8.99;6.99;10.75;3.99;4.59;13.59;32.99;7.45;5.49;8.99;5.99;7.99;4.99;4.99;5.8;4.99;3.89;7.99;9.79;5.07
ANGELONI;6.99;7.45;12.99;3.99;4.99;16.9;40.99;8.19;6.79;9.95;5.28;11.99;6.99;5.59;8.15;4.92;3.79;9.65;8.25;4.89
ARAUCÁRIA;11.9;7.99;8.99;4.29;4.99;12.99;31.99;7.99;5.99;10.69;6.3;9.75;4.99;6.39;5.69;5.84;4.99;11.98;9.99;6.49
ASSAÍ;8.49;9.2;9.99;5.99;4.09;13.9;35.9;6.99;5.99;9.99;5.19;8.99;4.99;5.29;6.05;4.19;3.19;8.69;7.55;3.99
ATACADÃO;13.98;24.9;8.99;4.79;3.99;11.9;34.9;7.29;5.59;12.9;4.9;9.79;4.79;5.39;5.99;3.95;3.69;6.49;7.59;3.99
CARREFOUR;5.49;22.49;13.92;4.19;4.69;14.99;39.99;8.89;6.99;14.84;6.39;11.99;6.19;5.79;5.89;3.99;4.29;7.99;8.99;4.45
CONDOR;11.79;23.89;10.99;3.99;4.48;14.49;32.97;6.99;5.79;8.98;4.89;8.99;4.79;5.39;5.99;5.29;4.29;7.99;8.99;4.49
FESTVAL;5.99;7.98;14.95;4.19;4.99;16.9;45.99;9.98;7.99;9.98;5.99;12.99;6.99;5.98;7.55;4.99;3.99;8.89;7.99;5.98
JACOMAR;10.99;6.99;9.98;4.98;4.48;12.98;34.98;6.98;6.38;8.98;4.99;9.99;4.98;5.49;5.98;4.68;4.68;8.98;8.99;4.98
NACIONAL;6.96;23.49;12.99;4.15;4.69;15.19;39.94;8.89;7.49;10.99;5.19;11.09;6.59;5.99;6.69;4.29;4.19;7.99;9.19;4.39
RIO VERDE;4.99;7.79;10.99;4.09;4.59;12.98;38.9;7.99;6.99;9.99;5.49;9.99;6.89;5.89;4.19;5.59;3.99;8.89;9.99;4.79
STALL;9.48;7.99;10.7;4.29;4.99;13.98;37.79;7.99;6.39;9.98;4.99;8.99;4.99;5.59;6.99;5.29;4.69;8.19;9.39;4.79
SUPER BONI;7.99;7.99;10.99;4.49;4.69;13.98;35.9;7.99;6.59;9.99;5.69;9.99;5.49;5.69;5.99;5.89;5.49;8.98;9.68;5.49
SUPER MUFFATO;8.89;18.99;12.49;4.98;4.49;14.68;35.97;7.99;6.69;9.99;5.69;10.98;5.89;5.59;6.3;4.49;4.79;7.99;8.79;5.19
TISSI;5.69;8.69;12.5;4.89;5.98;13.99;37.9;7.99;6.98;12.99;7.99;8.49;4.98;5.99;6.69;5.39;4.29;8.69;8.49;4.98
