mes;ACUCAR_E_ADOCANTE;ARROZ;AVES;BEBIDAS_ALCOOLICAS;BISCOITOS_E_SNACKS;CAFE_E_CHA;CARNE_BOVINA;CREMES_E_MANTEIGA;DOCES_E_SOBREMESAS;EMBUTIDOS;FARINACEOS;FRUTAS;LEGUMES_E_VERDURAS;LEITE;LIMPEZA_CASA;MASSAS;MOLHOS_E_CONDIMENTOS;PAES;QUEIJO;UTILIDADES_DOMESTICAS
2024-01;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
2024-02;121.46;92.21;92.35;100.0;100.0;99.93;97.87;99.87;100.0;100.0;103.85;100.0;90.89;100.09;100.0;95.82;100.0;101.19;98.88;101.71
2024-03;122.89;99.89;92.35;99.75;100.0;100.0;97.87;100.0;100.0;99.9;103.85;100.3;90.89;99.91;99.83;97.91;100.0;101.19;94.61;95.74
2024-04;125.75;99.89;92.35;100.0;100.0;99.93;97.87;99.87;105.01;100.0;106.84;100.4;90.89;101.95;100.0;97.91;100.0;103.1;99.35;97.87
2024-05;126.61;99.78;92.27;97.49;100.0;100.0;98.12;100.0;100.0;105.01;100.0;100.3;90.89;100.09;100.0;97.91;100.0;100.72;100.53;97.87
2024-06;140.06;88.88;92.35;94.99;100.0;96.39;100.6;106.26;100.0;102.8;103.85;100.3;94.63;101.95;100.0;97.91;100.0;101.19;104.09;100.0
2024-07;113.88;88.88;97.39;94.99;100.0;94.0;100.6;100.0;100.0;100.0;103.85;100.3;108.74;98.24;105.01;97.91;99.75;101.19;102.9;100.0
2024-08;121.46;91.66;92.35;97.49;97.77;95.21;100.6;100.0;100.0;100.0;101.93;99.5;98.18;98.24;100.0;97.91;100.0;101.19;96.98;102.13
2024-09;114.31;99.89;92.35;100.0;102.23;99.93;97.87;95.74;103.34;100.0;98.07;100.3;90.89;98.33;100.0;93.74;100.0;101.19;94.61;101.28
2024-10;120.03;211.12;92.35;100.0;100.0;106.36;98.06;96.25;100.0;99.9;105.59;100.4;90.89;100.09;98.33;95.82;100.0;100.36;98.88;97.87
2024-11;122.89;102.22;92.35;106.52;105.79;101.43;97.87;99.87;106.68;100.0;105.78;100.4;90.89;101.95;99.83;95.82;100.0;101.19;98.76;99.15
2024-12;122.89;211.12;98.66;100.0;106.68;99.93;98.83;97.0;100.0;99.9;100.0;100.3;90.89;98.89;100.0;95.82;107.52;100.0;100.53;97.87
